"DO","Family"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
"High","Pectinidae"
