Sepal.Length,Sepal.Width,petal.length,Petal_Width,Species
6.1,35,1.4,0.2,setosa
5.9,30,1.4,0.2,setosa
5.7,32,1.3,0.2,setosa
5.6,31,1.5,0.2,setosa
6,36,1.4,0.2,setosa
6.4,39,1.7,0.4,setosa
5.6,34,1.4,0.3,setosa
6,34,1.5,0.2,setosa
5.4,29,1.4,0.2,setosa
5.9,31,1.5,0.1,setosa
6.4,37,1.5,0.2,setosa
5.8,34,1.6,0.2,setosa
5.8,30,1.4,0.1,setosa
5.3,30,1.1,0.1,setsa
6.8,40,1.2,0.2,setosa
6.7,44,1.5,0.4,setosa
6.4,39,1.3,0.4,setosa
6.1,35,1.4,0.3,setosa
6.7,38,1.7,0.3,setosa
6.1,38,1.5,0.3,setosa
6.4,34,1.7,0.2,setosa
6.1,37,1.5,0.4,setosa
5.6,36,1,0.2,setoza
6.1,33,1.7,0.5,setosa
5.8,34,1.9,0.2,setosa
6,30,1.6,0.2,setosa
6,34,1.6,0.4,setosa
6.2,35,1.5,0.2,setosa
6.2,34,1.4,0.2,setosa
5.7,32,1.6,0.2,setoza
5.8,31,1.6,0.2,setosa
6.4,34,1.5,0.4,setosa
6.2,41,1.5,0.1,setosa
6.5,42,1.4,0.2,setosa
5.9,31,1.5,0.2,setosa
6,32,1.2,0.2,setosa
6.5,35,1.3,0.2,setosa
5.9,36,1.4,0.1,setosa
5.4,30,1.3,0.2,setosa
6.1,34,1.5,0.2,setosa
6,35,1.3,0.3,setosa
5.5,23,1.3,0.3,setosa
5.4,32,1.3,0.2,setosa
6,35,1.6,0.6,setosa
6.1,38,1.9,0.4,setosa
5.8,30,1.4,0.3,setosa
6.1,38,1.6,0.2,setosa
5.6,32,1.4,0.2,setosa
6.3,37,1.5,0.2,setosa
6,33,1.4,0.2,setosa
8,32,4.7,1.4,versicolor
7.4,32,4.5,1.5,versicolor
7.9,31,4.9,1.5,versicolor
6.5,23,4,1.3,versicolor
7.5,28,4.6,1.5,versicolor
6.7,28,4.5,1.3,versicolor
7.3,33,4.7,1.6,versicolor
5.9,24,3.3,1,versicolor
7.6,29,4.6,1.3,versicolor
6.2,27,3.9,1.4,versicolor
6,20,3.5,1,versicolor
6.9,30,4.2,1.5,versicolor
7,22,4,1,versicolor
7.1,29,4.7,1.4,versicolor
6.6,29,3.6,1.3,versicolor
7.7,31,4.4,1.4,versicolor
6.6,30,4.5,1.5,versicolor
6.8,27,4.1,1,versicolor
7.2,22,4.5,1.5,versicolor
6.6,25,3.9,1.1,versicolor
6.9,32,4.8,1.8,versicolor
7.1,28,4,1.3,versicolor
7.3,25,4.9,1.5,versicolor
7.1,28,4.7,1.2,versicolor
7.4,29,4.3,1.3,versicolor
7.6,30,4.4,1.4,versicolor
7.8,28,4.8,1.4,versicolor
7.7,30,5,1.7,versicolor
7,29,4.5,1.5,versicolor
6.7,26,3.5,1,versicolor
6.5,24,3.8,1.1,versicolor
6.5,24,3.7,1,versicolor
6.8,27,3.9,1.2,versicolor
7,27,5.1,1.6,versicolor
6.4,30,4.5,1.5,versicolor
7,34,4.5,1.6,versicolor
7.7,31,4.7,1.5,versicolor
7.3,23,4.4,1.3,versicolor
6.6,30,4.1,1.3,versicolor
6.5,25,4,1.3,versicolor
6.5,26,4.4,1.2,versicolor
7.1,30,4.6,1.4,versicolor
6.8,26,4,1.2,versicolor
6,23,3.3,1,versicolor
6.6,27,4.2,1.3,versicolor
6.7,30,4.2,1.2,versicolor
6.7,29,4.2,1.3,versicolor
7.2,29,4.3,1.3,versicolor
6.1,25,3,1.1,versicolor
6.7,28,4.1,1.3,versicolor
7.3,33,6,2.5,virginica
6.8,27,5.1,1.9,virginica
8.1,30,5.9,2.1,virginica
7.3,29,5.6,1.8,virginica
7.5,30,5.8,2.2,virginica
8.6,30,6.6,2.1,virginica
5.9,25,4.5,1.7,virginica
8.3,29,6.3,1.8,virginica
7.7,25,5.8,1.8,virginica
8.2,36,6.1,2.5,virginica
7.5,32,5.1,2,virginica
7.4,27,5.3,1.9,virginica
7.8,30,5.5,2.1,virginica
6.7,25,5,2,virginica
6.8,28,5.1,2.4,virginica
7.4,32,5.3,2.3,virginica
7.5,30,5.5,1.8,virginica
8.7,38,6.7,2.2,virginica
8.7,26,6.9,2.3,virginica
7,22,5,1.5,virginica
7.9,32,5.7,2.3,virginica
6.6,28,4.9,2,virginica
8.7,28,6.7,2,virginica
7.3,27,4.9,1.8,virginica
7.7,33,5.7,2.1,virginica
8.2,32,6,1.8,virginica
7.2,28,4.8,1.8,virginica
7.1,30,4.9,1.8,virginica
7.4,28,5.6,2.1,virginica
8.2,30,5.8,1.6,virginica
8.4,28,6.1,1.9,virginica
8.9,38,6.4,2,virginica
7.4,28,5.6,2.2,virginica
7.3,28,5.1,1.5,virginica
7.1,26,5.6,1.4,virginica
8.7,30,6.1,2.3,virginica
7.3,34,5.6,2.4,virginica
7.4,31,5.5,1.8,virginica
7,30,4.8,1.8,virginica
7.9,31,5.4,2.1,virginica
7.7,31,5.6,2.4,virginica
7.9,31,5.1,2.3,virginica
6.8,27,5.1,1.9,virginica
7.8,32,5.9,2.3,virginica
7.7,33,5.7,2.5,virginica
7.7,30,5.2,2.3,virginica
7.3,25,5,1.9,virginica
7.5,30,5.2,2,virginica
7.2,34,5.4,2.3,virginica
6.9,30,5.1,1.8,virginica
